id_seq,gene_name,alt_gene_name,coment,defining,organism,taxonomy,protein_name,enzyme,Pathway_all
sp|Q2G5J3|DHGRD_NOVAD,squF,,,,Novosphingobium aromaticivorans,279238.0,SquF,6-dehydroglucose reductase,"sulfo-ASMO, ASDO"
sp|Q2G5J3.1|DHGRD_NOVAD,squF,,,,Novosphingobium aromaticivorans,279238.0,SquF,6-dehydroglucose reductase,"sulfo-ASMO, ASDO"
pdb|7BC0|A,squF,smoB,,,Agrobacterium fabrum str. C58,176299.0,SquF,aldo-keto reductase,Sulfo-TK
sp|A9CEY6|DHGRD_AGRFC,squF,smoB,,,Agrobacterium fabrum str. C58,176299.0,SquF,6-dehydroglucose reductase,"sulfo-ASDO, sulfo-ASMO"
tr|A0A1A9EZ66|A0A1A9EZ66_9GAMM,squF,,,,Marinobacterium aestuarii,1821621.0,SquF ,Oxidoreductase,"sulfo-ASDO, ASMO"
sp|A9CEY6.1|DHGRD_AGRFC,squF,smoB,,,Agrobacterium fabrum str. C58,176299.0,SquF,6-dehydroglucose reductase,"sulfo-ASDO, sulfo-ASMO"
sp|D5E1T2.1|SFTAL_PRIM1,sqvA,sftT,,yes,Priestia megaterium (strain ATCC 12872 / QMB1551),545693.0,SqvA,6-deoxy-6-sulfo-D-fructose transaldolase,Sulfo-TAL
sp|A0A7W3N5X5|SFTAL_PRIAR,sqvA,sftT,,yes,Priestia aryabhattai,412384.0,SqvA,6-deoxy-6-sulfo-D-fructose transaldolase,Sulfo-TAL
sp|J1H1H5.1|SQVD_CLOS9,sqvD,,,,Clostridium sp. MSTE9,1105031.0,SqvD,Sulfoquinovose isomerase,"sulfo-EMP, TAL, TK"
sp|D5E1S9.1|SQVD_PRIM1,sqvD,sftI,,,Priestia megaterium (strain ATCC 12872 / QMB1551),545693.0,SqvD,Sulfoquinovose isomerase,"sulfo-EMP, TAL, TK"
sp|A0A7W3RDA3|SQVD_PRIAR,sqvD,,,,Priestia aryabhattai,412384.0,SqvD,Sulfoquinovose isomerase,"Sulfo-TAL, EMP, TK"
sp|A0A2P6MHU9.1|SQVD_ALKUR,sqvD,,,,Alkalicoccus urumqiensis,1548213.0,SqvD,Sulfoquinovose isomerase,"sulfo-EMP, EMP, TAL, TK"
sp|J1H1H5|SQVD_CLOS9,sqvD,,,,Clostridium sp. MSTE9,279238.0,SqvD,Sulfoquinovose isomerase,sulfo-EMP
sp|J1H1J3|SQWF_CLOS9,sqwF,,,yes,Clostridium sp. MSTE9,279238.0,SqwF,Sulfoacetaldehyde reductase,sulfo-TK
sp|J1H1J3|SQWF_CLOS9,sqwF,,,yes,Clostridium sp. MSTE9,1105031.0,SqwF,Sulfoacetaldehyde reductase,sulfo-TK
sp|J0MXK0.1|SQWG_CLOS9,sqwG,,,yes,Clostridium sp. MSTE9,1105031.0,SqwG,6-deoxy-6-sulfo-D-fructose transketolase,sulfo-TK
sp|J1H0Z7|SQWH_CLOS9,sqwH,,,yes,Clostridium sp. MSTE9,279238.0,SqwH,6-deoxy-6-sulfo-D-fructose transketolase,sulfo-TK
sp|J1H0Z7.1|SQWH_CLOS9,sqwH,,,yes,Clostridium sp. MSTE9,1105031.0,SqwH,-deoxy-6-sulfo-D-fructose transketolase ,sulfo-TK
sp|J0MXJ0|SQWI_CLOS9,sqwI,,,yes,Clostridium sp. MSTE9,1105031.0,SqwI,4-deoxy-4-sulfo-D-erythrose isomerase,sulfo-TK
sp|P37610.3|TAUD_ECOLI,tauD,,related to taurine metabolism,,Escherichia coli str. K-12 substr. MG1655,511145.0,TauD,Alpha-ketoglutarate-dependent taurine dioxygenase,
XKS62006.1,yihQ,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,YihQ, sulfoquinovosidase,sulfo-EMP
7OFX_1|Chains,yihQ,,,,Agrobacterium tumefaciens C58,358.0,YihQ,sulfoquinovosidase,Sulfo-TK
sp|A9CEZ0.1|SQASE_AGRFC,yihQ,,,,Agrobacterium fabrum str. C58,176299.0,SQasE,Sulfoquinovosidase,"sulfo-ASDO,ASMO, TAL, TK,ED"
SQASE_AGRFC,yihQ,,Alternative name smol,,Agrobacterium fabrum,176299.0,YihQ,sulfoquinovosidase,sulfo-EMP
AAC76876.1,yihR,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,YihR,SQ mutarotase,sulfo-EMP
sp|P32140|SQUS_ECOLI,yihS,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,YihS,Sulfoquinovose isomerase,sulfo-EMP
XKS62008.1,yihS,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,YihS,SQ isomerase,sulfo-EMP
sp|P32141|SQUT_ECOLI,yihT,,,yes,Escherichia coli str. K-12 substr. MG1655,511145.0,YihT,Sulfofructosephosphate aldolase,sulfo-EMP
XKS62009.1,yihT,,,yes,Escherichia coli str. K-12 substr. MG1655,511145.0,YihT,SFP aldolase,sulfo-EMP
sp|P0A9V8|SQUU_ECOLI,yihU,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,YihU,3-sulfolactaldehyde reductase,"sulfo-EMP, ED, TAL"
XKS62010.1,yihU,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,YihU,SLA reductase,sulfo-EMP
XKS62011.1,yihV,,,yes,Escherichia coli str. K-12 substr. MG1655,511145.0,YihV,SF kinase,sulfo-EMP
sp|P32143|SQUV_ECOLI,yihV,,,yes,Escherichia coli str. K-12 substr. MG1655,511145.0,YihV,Sulfofructose kinase,sulfo-EMP
